gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
93047732,b929f23d-290f-4e85-8f17-764c55b3b284,dc7e5f93-2d34-4b32-b34d-4af8f542fe36,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,,SPECIES,"Gorilla gorilla (Savage, 1847)",Gorilla gorilla,,CM,Haut-Nyono,,PRESENT,,90cc71b0-055b-11d8-b84e-b8a03c50a862,,,,,,,,,,,,,2436441,2436441,PRESERVED_SPECIMEN,BPBM,VZ-BBM-X,148214,,,,CC0_1_0,Bernice Pauahi Bishop Museum,?,,,2024-11-19T10:35:02.345Z,,CONTINENT_DERIVED_FROM_COUNTRY;INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
921937628,6ac3f774-d9fb-4796-b3e9-92bf6c81c084,,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla beringei,beringei,SUBSPECIES,Gorilla beringei beringei,Gorilla beringei subsp. beringei,,RW,Virunga NP Ruanda,,PRESENT,,bb646dff-a905-4403-a49b-6d378c2cf0d9,-1.536295,29.470793,250,,,,,,2011-10-04T00:00,4,10,2011,4267319,7262070,HUMAN_OBSERVATION,naturgucker,naturgucker,1290647146,,,,CC_BY_4_0,,-1339463157,,,2024-03-15T23:26:58.605Z,StillImage,COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES
919972925,acede617-a095-4caa-a93e-4a77f5f77935,urn:catalog:UAFMC:Mammals:0000-0002-0080,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,,,GENUS,"Gorilla I.Geoffroy Saint-Hilaire, 1852",Gorilla,,,UNKNOWN,,PRESENT,1,9a367b8c-22dd-402d-9161-d3c64c6d6a94,,,,,,,,,,,,,2436440,,PRESERVED_SPECIMEN,UAFMC,Mammals,0000-0002-0080,,,,CC0_1_0,,,,native,2024-04-29T09:12:19.782Z,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
919969787,acede617-a095-4caa-a93e-4a77f5f77935,urn:catalog:UAFMC:Mammals:0000-0002-0004,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,,,GENUS,"Gorilla I.Geoffroy Saint-Hilaire, 1852",Gorilla,,,UNKNOWN,,PRESENT,1,9a367b8c-22dd-402d-9161-d3c64c6d6a94,,,,,,,,,,,,,2436440,,PRESERVED_SPECIMEN,UAFMC,Mammals,0000-0002-0004,,,,CC0_1_0,,,,native,2024-04-29T09:12:19.665Z,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
919418469,22a66350-7947-4a49-84a3-39c7c1b0881f,urn:catalog:MSU:MR:MR.33606,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,gorilla,SUBSPECIES,Gorilla gorilla gorilla,Gorilla gorilla gorilla,,,"Detroit Zoo, Royal Oak, Michigan",,PRESENT,,311e2740-f15a-11d8-b22f-b8a03c50a862,,,,,,,,,Aug-83,,8,1983,4267318,2436441,PRESERVED_SPECIMEN,MSU,MR,MR.33606,,,,CC0_1_0,,Collector Unknown,,,2024-04-29T09:03:08.038Z,,
911503267,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/714421,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,gorilla,SUBSPECIES,Gorilla gorilla gorilla,Gorilla gorilla gorilla,,CM,,Est,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,2.509913,15.88699,31436,,,,,,2014/5/3,3,5,2014,4267318,2436441,HUMAN_OBSERVATION,iNaturalist,Observations,714421,,Jakob Fahr,2014-06-03T11:17:45,CC_BY_4_0,Jakob Fahr,Jakob Fahr,,,2024-11-25T06:59:45.127Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
894787725,71e82020-f762-11e1-a439-00145eb45e9a,urn:catalog:OMNH:OCGR:7710,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,,SPECIES,"Gorilla gorilla (Savage, 1847)",Gorilla gorilla,,,Oklahoma City Zoological Park,,PRESENT,,609765e0-4ce8-11db-b80e-b8a03c50a862,,,,,,,,,2007/7/2,2,7,2007,2436441,2436441,PRESERVED_SPECIMEN,OMNH,OCGR,7710,MP 705,,,CC0_1_0,,"Bottaro, L",,,2024-01-24T19:50:29.803Z,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
894780048,71e82020-f762-11e1-a439-00145eb45e9a,urn:catalog:OMNH:OCGR:11654,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,,SPECIES,"Gorilla gorilla (Savage, 1847)",Gorilla gorilla,,,Oklahoma City Zoological Park,,PRESENT,,609765e0-4ce8-11db-b80e-b8a03c50a862,,,,,,,,,2012/6/25,25,6,2012,2436441,2436441,PRESERVED_SPECIMEN,OMNH,OCGR,11654,MP 3093,,,CC0_1_0,,"Deitz, R",,,2024-01-24T19:50:31.624Z,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
894749396,84aefc7e-f762-11e1-a439-00145eb45e9a,urn:catalog:OMNH:Mammals:50619,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,,SPECIES,"Gorilla gorilla (Savage, 1847)",Gorilla gorilla,,,Oklahoma City Zoological Park,,PRESENT,,609765e0-4ce8-11db-b80e-b8a03c50a862,,,,,,,,,2012/6/25,25,6,2012,2436441,2436441,PRESERVED_SPECIMEN,OMNH,Mammals,50619,"MP , 3093",,,CC0_1_0,,"Deitz, R.",,,2024-01-24T21:18:38.337Z,,INSTITUTION_MATCH_FUZZY;COLLECTION_MATCH_FUZZY
891331530,e6acc36b-4149-4458-a26f-17fbeb0df90b,URI:catalog:ROM:Vertebrate Palaeontology-Recent Osteological:8118,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,,SPECIES,"Gorilla gorilla (Savage, 1847)",Gorilla gorilla,,,,,PRESENT,,ff418020-1d67-11d9-8435-b8a03c50a862,,,,,,,,,,,,,2436441,2436441,PRESERVED_SPECIMEN,Royal Ontario Museum: ROM,Vertebrate Paleontology,8118,,,,CC_BY_NC_4_0,Royal Ontario Museum; ROM,,,,2024-01-25T01:31:45.162Z,,INSTITUTION_MATCH_NONE
891329223,e6acc36b-4149-4458-a26f-17fbeb0df90b,URI:catalog:ROM:Vertebrate Palaeontology-Recent Osteological:5720,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,,SPECIES,"Gorilla gorilla (Savage, 1847)",Gorilla gorilla,,,,,PRESENT,,ff418020-1d67-11d9-8435-b8a03c50a862,,,,,,,,,,,,,2436441,2436441,PRESERVED_SPECIMEN,Royal Ontario Museum: ROM,Vertebrate Paleontology,5720,,,,CC_BY_NC_4_0,Royal Ontario Museum; ROM,,,,2024-01-25T01:31:45.186Z,,INSTITUTION_MATCH_NONE
891325889,e6acc36b-4149-4458-a26f-17fbeb0df90b,URI:catalog:ROM:Vertebrate Palaeontology-Recent Osteological:2323,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,,SPECIES,"Gorilla gorilla (Savage, 1847)",Gorilla gorilla,,,,,PRESENT,,ff418020-1d67-11d9-8435-b8a03c50a862,,,,,,,,,,,,,2436441,2436441,PRESERVED_SPECIMEN,Royal Ontario Museum: ROM,Vertebrate Paleontology,2323,Z-356,,,CC_BY_NC_4_0,Royal Ontario Museum; ROM,,,,2024-01-25T01:31:44.942Z,,INSTITUTION_MATCH_NONE
891073609,50c9509d-22c7-4a22-a47d-8c48425ef4a7,http://www.inaturalist.org/observations/58994,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,diehli,SUBSPECIES,"Gorilla gorilla diehli Matschie, 1903",Gorilla gorilla diehli,,CM,,Sud-Ouest,PRESENT,,28eb1a3f-1c15-4a95-931a-4af90ecb574d,6.082184,9.690293,31362,,,,,,2012-02-17T13:49,17,2,2012,4267321,2436441,HUMAN_OBSERVATION,iNaturalist,Observations,58994,,Matt Muir,2012-03-20T02:31:56,CC_BY_4_0,Matt Muir,Matt Muir,,,2024-11-25T06:26:06.727Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
865726799,5a659248-1f70-11e3-b2c5-00145eb45e9a,,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,gorilla,SUBSPECIES,Gorilla gorilla gorilla,"Gorilla gorilla gorilla (Savage, 1847)",,GA,,,PRESENT,,23539a57-1347-4dd3-af2a-cf9478563baa,-0.8,11.6,,,,,,,,,,,4267318,2436441,PRESERVED_SPECIMEN,MHNG,"Mammals housed at MHNG, Geneva",MHNG-MAM-850.014,,,,CC_BY_NC_4_0,,F. Grébert,,,2024-01-24T18:36:15.983Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
865726798,5a659248-1f70-11e3-b2c5-00145eb45e9a,,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla beringei,graueri,SUBSPECIES,"Gorilla beringei graueri Matschie, 1914","Gorilla beringei graueri Matschie, 1914",,TZ,"Wabembe, au Nord-Ouest du Tanganyika/Kigoma Region",,PRESENT,,23539a57-1347-4dd3-af2a-cf9478563baa,-4.88,29.63,,,,,,,,,,,4267322,7262070,PRESERVED_SPECIMEN,MHNG,"Mammals housed at MHNG, Geneva",MHNG-MAM-738.031,,,,CC_BY_NC_4_0,,,,,2024-01-24T18:36:16.458Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
865726797,5a659248-1f70-11e3-b2c5-00145eb45e9a,,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,gorilla,SUBSPECIES,Gorilla gorilla gorilla,"Gorilla gorilla gorilla (Savage, 1847)",,GA,Ogooue-Maritime; Fernan Vas,,PRESENT,,23539a57-1347-4dd3-af2a-cf9478563baa,-1.57853,9.26101,,,,,,,,,,,4267318,2436441,PRESERVED_SPECIMEN,MHNG,"Mammals housed at MHNG, Geneva",MHNG-MAM-581.018,,,,CC_BY_NC_4_0,,,,,2024-01-24T18:36:07.205Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
865726796,5a659248-1f70-11e3-b2c5-00145eb45e9a,,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,gorilla,SUBSPECIES,Gorilla gorilla gorilla,"Gorilla gorilla gorilla (Savage, 1847)",,GA,,,PRESENT,,23539a57-1347-4dd3-af2a-cf9478563baa,-0.8,11.6,,,,,,,,,,,4267318,2436441,PRESERVED_SPECIMEN,MHNG,"Mammals housed at MHNG, Geneva",MHNG-MAM-618.071,,,,CC_BY_NC_4_0,,inconnu,,,2024-01-24T18:36:19.955Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
865726795,5a659248-1f70-11e3-b2c5-00145eb45e9a,,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,gorilla,SUBSPECIES,Gorilla gorilla gorilla,"Gorilla gorilla gorilla (Savage, 1847)",,CM,Batouri district; Village de Lelo,,PRESENT,,23539a57-1347-4dd3-af2a-cf9478563baa,4.3333,14.1167,,,,,,,1933/2/15,15,2,1933,4267318,2436441,PRESERVED_SPECIMEN,MHNG,"Mammals housed at MHNG, Geneva",MHNG-MAM-854.089,,,,CC_BY_NC_4_0,,Fred Merfield via Rowland Ward Ltd,,,2024-01-24T18:36:20.587Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
865726792,5a659248-1f70-11e3-b2c5-00145eb45e9a,,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,gorilla,SUBSPECIES,Gorilla gorilla gorilla,"Gorilla gorilla gorilla (Savage, 1847)",,GA,,,PRESENT,,23539a57-1347-4dd3-af2a-cf9478563baa,-0.8,11.6,,,,,,,,,,,4267318,2436441,PRESERVED_SPECIMEN,MHNG,"Mammals housed at MHNG, Geneva",MHNG-MAM-727.048,,,,CC_BY_NC_4_0,,,,,2024-01-24T18:36:17.341Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
865726791,5a659248-1f70-11e3-b2c5-00145eb45e9a,,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,gorilla,SUBSPECIES,Gorilla gorilla gorilla,"Gorilla gorilla gorilla (Savage, 1847)",,GA,"Ogooue-Ivindo; Ovan (=Collioura) sur l’Ivindo, affluent de l’Ogoué",,PRESENT,,23539a57-1347-4dd3-af2a-cf9478563baa,0.3167,12.1667,,,,,,,,,,,4267318,2436441,PRESERVED_SPECIMEN,MHNG,"Mammals housed at MHNG, Geneva",MHNG-MAM-851.066,,,,CC_BY_NC_4_0,,Galley,,,2024-01-24T18:36:17.341Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
865726790,5a659248-1f70-11e3-b2c5-00145eb45e9a,,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,gorilla,SUBSPECIES,Gorilla gorilla gorilla,"Gorilla gorilla gorilla (Savage, 1847)",,GA,,,PRESENT,,23539a57-1347-4dd3-af2a-cf9478563baa,-0.8,11.6,,,,,,,,,,,4267318,2436441,PRESERVED_SPECIMEN,MHNG,"Mammals housed at MHNG, Geneva",MHNG-MAM-727.053,,,,CC_BY_NC_4_0,,,,,2024-01-24T18:36:17.526Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
865726789,5a659248-1f70-11e3-b2c5-00145eb45e9a,,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,gorilla,SUBSPECIES,Gorilla gorilla gorilla,"Gorilla gorilla gorilla (Savage, 1847)",,GA,,,PRESENT,,23539a57-1347-4dd3-af2a-cf9478563baa,-0.8,11.6,,,,,,,,,,,4267318,2436441,PRESERVED_SPECIMEN,MHNG,"Mammals housed at MHNG, Geneva",MHNG-MAM-653.050,,,,CC_BY_NC_4_0,,,,,2024-01-24T18:36:20.448Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
865726788,5a659248-1f70-11e3-b2c5-00145eb45e9a,,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,gorilla,SUBSPECIES,Gorilla gorilla gorilla,"Gorilla gorilla gorilla (Savage, 1847)",,CM,Batouri district   ; Obala,,PRESENT,,23539a57-1347-4dd3-af2a-cf9478563baa,3.75,14.25,,,,,,,1932/10/14,14,10,1932,4267318,2436441,PRESERVED_SPECIMEN,MHNG,"Mammals housed at MHNG, Geneva",MHNG-MAM-854.090,,,,CC_BY_NC_4_0,,Fred Merfield via Rowland Ward Ltd,,,2024-01-24T18:36:20.587Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
865726786,5a659248-1f70-11e3-b2c5-00145eb45e9a,,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,gorilla,SUBSPECIES,Gorilla gorilla gorilla,"Gorilla gorilla gorilla (Savage, 1847)",,CM,Bipindi/South Province,,PRESENT,,23539a57-1347-4dd3-af2a-cf9478563baa,3.0833,10.4167,,,,,,,1932/9/16,16,9,1932,4267318,2436441,PRESERVED_SPECIMEN,MHNG,"Mammals housed at MHNG, Geneva",MHNG-MAM-854.088,,,,CC_BY_NC_4_0,,Fred Merfield via Rowland Ward Ltd,,,2024-01-24T18:36:20.587Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
865726784,5a659248-1f70-11e3-b2c5-00145eb45e9a,,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,gorilla,SUBSPECIES,Gorilla gorilla gorilla,"Gorilla gorilla gorilla (Savage, 1847)",,CM,Ebolowa/South Province,,PRESENT,,23539a57-1347-4dd3-af2a-cf9478563baa,2.9,11.15,,,,,,,1952/4/18,18,4,1952,4267318,2436441,PRESERVED_SPECIMEN,MHNG,"Mammals housed at MHNG, Geneva",MHNG-MAM-909.099,,,,CC_BY_NC_4_0,,J.-L. Perret,,,2024-01-24T18:36:16.019Z,,GEODETIC_DATUM_ASSUMED_WGS84;CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY
859562684,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-167368,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,gorilla,SUBSPECIES,Gorilla gorilla gorilla,Gorilla gorilla gorilla,,CM,,,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,,,,,1946/1/1,1,1,1946,4267318,2436441,PRESERVED_SPECIMEN,AMNH,Mammals,M-167368,50,,,CC0_1_0,,F. Hope,,native,2024-04-29T10:40:06.696Z,,
859561172,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-201449,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla beringei,beringei,SUBSPECIES,"Gorilla gorilla beringei Matschie, 1903",Gorilla gorilla beringei,,,,,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,,,,,,,,,5786532,7262070,PRESERVED_SPECIMEN,AMNH,Mammals,M-201449,,,,CC0_1_0,,,,native,2024-04-29T10:40:02.666Z,,
859561168,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-202854,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla beringei,beringei,SUBSPECIES,"Gorilla gorilla beringei Matschie, 1903",Gorilla gorilla beringei,,,,,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,,,,,,,,,5786532,7262070,PRESERVED_SPECIMEN,AMNH,Mammals,M-202854,,,,CC0_1_0,,,,native,2024-04-29T10:40:06.988Z,,
859561162,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-54093,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla beringei,beringei,SUBSPECIES,"Gorilla gorilla beringei Matschie, 1903",Gorilla gorilla beringei,,CD,,Kivu Forest,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,,,,,,,,,5786532,7262070,PRESERVED_SPECIMEN,AMNH,Mammals,M-54093,,,,CC0_1_0,,C. E. Akeley,,native,2024-04-29T10:40:01.333Z,,
859548127,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-201457,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,gorilla,SUBSPECIES,Gorilla gorilla gorilla,Gorilla gorilla gorilla,,,,,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,,,,,,,,,4267318,2436441,PRESERVED_SPECIMEN,AMNH,Mammals,M-201457,,,,CC0_1_0,,,,native,2024-04-29T10:40:06.968Z,,
859535938,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:MO-198,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,,SPECIES,"Gorilla gorilla (Savage, 1847)",Gorilla gorilla,,,,,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,,,,,,,,,2436441,2436441,PRESERVED_SPECIMEN,AMNH,Mammals,MO-198,,,,CC0_1_0,,,,native,2024-04-29T10:39:58.902Z,,
859535561,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:MO-123,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,,SPECIES,"Gorilla gorilla (Savage, 1847)",Gorilla gorilla,,,,,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,,,,,,,,,2436441,2436441,PRESERVED_SPECIMEN,AMNH,Mammals,MO-123,,,,CC0_1_0,,,,native,2024-04-29T10:40:01.758Z,,
859534907,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-149579,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,,SPECIES,"Gorilla gorilla (Savage, 1847)",Gorilla gorilla,,,,,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,,,,,1952/12/23,23,12,1952,2436441,2436441,PRESERVED_SPECIMEN,AMNH,Mammals,M-149579,,,,CC0_1_0,,H. Trefflich,,native,2024-04-29T10:40:06.478Z,,
859531378,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-239597,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,,SPECIES,"Gorilla gorilla (Savage, 1847)",Gorilla gorilla,,,,,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,,,,,1971/10/29,29,10,1971,2436441,2436441,PRESERVED_SPECIMEN,AMNH,Mammals,M-239597,,,,CC0_1_0,,Bronx Zoo,,native,2024-04-29T10:40:07.528Z,,
859531170,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-239121,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,,SPECIES,"Gorilla gorilla (Savage, 1847)",Gorilla gorilla,,,,,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,,,,,,,,,2436441,2436441,PRESERVED_SPECIMEN,AMNH,Mammals,M-239121,,,,CC0_1_0,,,,native,2024-04-29T10:40:03.013Z,,
859521531,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-35617,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,,SPECIES,"Gorilla gorilla (Savage, 1847)",Gorilla gorilla,,,,,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,,,,,,,,,2436441,2436441,PRESERVED_SPECIMEN,AMNH,Mammals,M-35617,,,,CC0_1_0,,,,native,2024-04-29T10:40:03.989Z,,
859520290,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-35400,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,,SPECIES,"Gorilla gorilla (Savage, 1847)",Gorilla gorilla,,,,,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,,,,,1911/10/7,7,10,1911,2436441,2436441,PRESERVED_SPECIMEN,AMNH,Mammals,M-35400,,,,CC0_1_0,,,,native,2024-04-29T10:40:03.978Z,,
859518975,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-38428,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,,SPECIES,"Gorilla gorilla (Savage, 1847)",Gorilla gorilla,,,,,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,,,,,,,,,2436441,2436441,PRESERVED_SPECIMEN,AMNH,Mammals,M-38428,,,,CC0_1_0,,Ward's Natural Science Establishment,,native,2024-04-29T10:40:01.120Z,,
859513197,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-202586,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,,SPECIES,"Gorilla gorilla (Savage, 1847)",Gorilla gorilla,,,,,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,,,,,,,,,2436441,2436441,PRESERVED_SPECIMEN,AMNH,Mammals,M-202586,CA 2934A,,,CC0_1_0,,,,native,2024-04-29T10:40:07.199Z,,
859508872,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-200521,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,,SPECIES,"Gorilla gorilla (Savage, 1847)",Gorilla gorilla,,,,,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,,,,,,,,,2436441,2436441,PRESERVED_SPECIMEN,AMNH,Mammals,M-200521,,,,CC0_1_0,,,,native,2024-04-29T10:40:02.661Z,,
859508868,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-200520,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,,SPECIES,"Gorilla gorilla (Savage, 1847)",Gorilla gorilla,,,,,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,,,,,,,,,2436441,2436441,PRESERVED_SPECIMEN,AMNH,Mammals,M-200520,,,,CC0_1_0,,,,native,2024-04-29T10:40:06.963Z,,
859508864,96ca66b4-f762-11e1-a439-00145eb45e9a,urn:catalog:AMNH:Mammals:M-200519,Animalia,Chordata,Mammalia,Primates,Hominidae,Gorilla,Gorilla gorilla,,SPECIES,"Gorilla gorilla (Savage, 1847)",Gorilla gorilla,,,,,PRESENT,1,ccd1ddc0-6c21-11de-8224-b8a03c50a862,,,,,,,,,,,,,2436441,2436441,PRESERVED_SPECIMEN,AMNH,Mammals,M-200519,,,,CC0_1_0,,,,native,2024-04-29T10:40:07.085Z,,
